"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048880","GO:0048880","sensory system development","43/1152","401/18870",0.00023683650792556,0.00693447108689568,0.00545648796697766,"BCAR3/TGFB2/GRHL3/EFEMP1/COL5A2/PRSS56/MERTK/WNT7A/COL8A1/SLC7A11/BMPR1B/KDR/PITX2/PDE6A/FBN2/CITED2/SEMA3A/ACHE/ABCB5/GRHL2/KLF4/RORB/LAMC3/NOTCH1/FJX1/TUB/MYO7A/THY1/NRP1/SPRY2/POU4F1/SLITRK6/COL4A1/BMP4/NRL/CYP1A1/DLL4/FOXC2/ITGAM/SOX9/MYOM1/BMP7/LARGE1",43
"GO:2000352","GO:2000352","negative regulation of endothelial cell apoptotic process","9/1152","36/18870",0.000239655591907321,0.0069690834653721,0.00548372321308344,"GATA2/KDR/FGB/FGA/FGG/SERPINE1/ANGPT1/FGF21/ANGPTL4",9
"GO:0030033","GO:0030033","microvillus assembly","6/1152","16/18870",0.000240577982278728,0.0069690834653721,0.00548372321308344,"RAP1GAP/ESPN/TNIK/FSCN1/STK26/ATP8B1",6
"GO:1903522","GO:1903522","regulation of blood circulation","31/1152","258/18870",0.000244259378009289,0.00700988754872422,0.00551583049091681,"TGFB2/CHRM3/TNNT2/PDE4B/RGS4/SLC8A1/PER2/HOPX/ANK2/FGB/FGA/FGG/NKX2-5/HBEGF/EDN1/GJA1/CAV1/DOCK4/APLN/FGF13/STC1/TMEM38B/SCN4B/SCN3B/SMTNL1/CELF2/PKP2/HSP90AA1/HCN4/KCNJ2/DSC2",31
"GO:0051347","GO:0051347","positive regulation of transferase activity","44/1152","414/18870",0.000245364464611211,0.00700988754872422,0.00551583049091681,"LRP8/TGFB2/DDR2/S100A12/NTRK1/IRS1/MAPRE3/MERTK/ROBO1/KDR/EREG/FGFR3/EGR1/CD74/EDN1/TREM2/PKIB/GRHL2/ANGPT1/KLF4/TNFSF15/TLR4/SORL1/CCND1/DKK1/STOX1/ADAM8/PRKCQ/CCND2/HMGA2/LRRK2/FZD10/HSP90AA1/THBS1/GPRC5B/NOD2/MAP2K3/ERN1/SRCIN1/TRIB3/EEF1A2/AXL/MAP3K10/PDGFB",44
"GO:0021675","GO:0021675","nerve development","16/1152","97/18870",0.000245848057621433,0.00700988754872422,0.00551583049091681,"NGF/NTRK1/EDN1/CITED2/SEMA3A/LPAR1/BDNF/NRP1/SCN8A/POU4F1/SLITRK6/NGFR/ATP8B1/MAFB/NTF4/LARGE1",16
"GO:0007265","GO:0007265","Ras protein signal transduction","38/1152","341/18870",0.000249359814268881,0.0070729872318142,0.00556548138096828,"RHOU/TGFB2/NGF/NTRK1/RAPGEF4/PSD4/GPR17/ARHGEF3/ROBO1/PLK2/ARFGEF3/RAPGEF5/AUTS2/RASA4/RASA4B/RAB39B/RAB9B/DLC1/GPR20/RALGPS1/ABCA1/NOTCH1/LPAR1/RAB30/ARHGAP20/NRP1/RAPGEF3/ARHGDIB/SPRY2/LPAR6/STARD13/RASGRF1/ADGRG1/NGFR/ARHGAP44/RGL3/RASIP1/CELSR1",38
"GO:0008299","GO:0008299","isoprenoid biosynthetic process","8/1152","29/18870",0.000254934241216259,0.00715655607043167,0.00563123871943239,"HMGCS1/CRPPA/AKR1C3/IDI1/MVK/CYP1A1/MVD/LSS",8
"GO:0072012","GO:0072012","glomerulus vasculature development","8/1152","29/18870",0.000254934241216259,0.00715655607043167,0.00563123871943239,"OSR1/EGR1/ANGPT1/NOTCH1/BMP4/FOXC2/BMP7/PDGFB",8
"GO:0007517","GO:0007517","muscle organ development","39/1152","354/18870",0.000262989578280393,0.00734482688879499,0.00577938231136023,"TGFB2/ATF3/TNNT2/TMEM182/DNER/NKX2-5/EGR1/HBEGF/CITED2/CAV1/XK/NOTCH1/MYORG/ASS1/BARX2/SMTNL1/USP2/MKX/ANKRD2/ANKRD1/ARID5B/NEURL1/POU6F1/PKP2/POU4F1/SGCG/BMP4/DLL4/FOXC2/NUPR1/FZD2/NOG/HLF/MYOM1/BMP2/RYR1/MYH14/LARGE1/SMTN",39
"GO:0090497","GO:0090497","mesenchymal cell migration","12/1152","61/18870",0.000271894395600884,0.00755477999205313,0.00594458691993125,"SEMA4A/FN1/SEMA3B/PITX2/ANXA6/EDN1/SEMA3A/NRP1/BMP4/SEMA7A/CDH2/BMP7",12
"GO:0001763","GO:0001763","morphogenesis of a branching structure","26/1152","203/18870",0.00027810020136467,0.0076879883077766,0.00604940379244226,"WNT4/GDF7/KDR/HHIP/EDN1/MAGED1/FGF13/EYA1/GRHL2/NOTCH1/ST14/NRP1/LRRK2/SPRY2/COL4A1/BMP4/DLL4/FOXC2/SOX9/NOG/BMP2/TGM2/BMP7/RASIP1/TMEM59L/CELSR1",26
"GO:0098773","GO:0098773","skin epidermis development","19/1152","128/18870",0.000279756708661623,0.00769472240086465,0.00605470261010881,"TGFB2/GRHL3/KDF1/ABCA12/WNT10A/FOXQ1/CLDN4/EDA/NSDHL/KLF4/NOTCH1/DKK1/FA2H/NGFR/SOX9/DLX3/ALOX12B/KRT16/APCDD1",19
"GO:0060272","GO:0060272","embryonic skeletal joint morphogenesis","5/1152","11/18870",0.000284795903091053,0.00779396225243154,0.00613279090972588,"OSR1/HYAL1/BMP4/NOG/BMP7",5
"GO:0060348","GO:0060348","bone development","27/1152","215/18870",0.000295637765706554,0.00800076803909816,0.00629551900712616,"PAPPA2/DDR2/DHRS3/BMPR1B/KDR/PITX2/FGFR3/ADAMTS12/PTGER4/ANXA6/GJA1/CITED2/RIPPLY2/INSIG1/SNX10/STC1/MMP16/TMEM38B/PAPSS2/TRPV4/BMP4/ANXA2/SOX9/BMP2/TGM2/RYR1/LARGE1",27
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","50/1152","493/18870",0.000296508135484264,0.00800076803909816,0.00629551900712616,"TNFSF4/WNT4/ABCA12/IL1RL2/IL1RN/IL1A/IL20RB/CHST2/EPHB3/TFRC/IL15/FGB/FGA/FGG/IL7R/ADAM19/CD74/HAVCR2/CITED2/GCNT2/ACTB/CAV1/SYK/KLF4/NOTCH1/ASS1/CD274/PDCD1LG2/AKNA/THY1/RAG1/ADAM8/ALOX5/PRKCQ/TRPV4/TNFSF13B/BMP4/CORO1A/NOD2/B4GALNT2/C1QTNF1/BMP2/BMP7/SOX12/CEACAM1/EBI3/FUT3/TNFRSF13C/LGALS1/ITGB2",50
"GO:0032330","GO:0032330","regulation of chondrocyte differentiation","11/1152","53/18870",0.000297360301149506,0.00800076803909816,0.00629551900712616,"EFEMP1/BMPR1B/ADAMTS12/CCN2/SCIN/LOXL2/GDF6/PTHLH/BMP4/SOX9/CHADL",11
"GO:0010934","GO:0010934","macrophage cytokine production","9/1152","37/18870",0.000299698251923618,0.00800076803909816,0.00629551900712616,"TGFB2/SPON2/CD74/CD36/TLR4/SEMA7A/GPRC5B/NOD2/AXL",9
"GO:0010935","GO:0010935","regulation of macrophage cytokine production","9/1152","37/18870",0.000299698251923618,0.00800076803909816,0.00629551900712616,"TGFB2/SPON2/CD74/CD36/TLR4/SEMA7A/GPRC5B/NOD2/AXL",9
"GO:0007193","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","14/1152","80/18870",0.00031500486659962,0.00832545872985185,0.00655100653095983,"CHRM3/MARCO/NPY2R/MTNR1A/EDN1/AKAP12/HTR1B/GPR37/GABBR2/LPAR1/S1PR3/PDE2A/HRH4/GNAZ",14
"GO:0048844","GO:0048844","artery morphogenesis","14/1152","80/18870",0.00031500486659962,0.00832545872985185,0.00655100653095983,"TGFB2/APOB/ADAMTS9/HPGD/EDN1/CITED2/EYA1/NOTCH1/NRP1/BMP4/DLL4/FOXC2/NOG/LDLR",14
"GO:0009308","GO:0009308","amine metabolic process","18/1152","119/18870",0.00031644692564806,0.00832545872985185,0.00655100653095983,"AGMAT/TGFB2/KYNU/CHDH/SULT1B1/SLC7A11/DMGDH/RNF180/BHMT/MOXD1/PRKN/GPR37/SLC29A4/SATL1/CYP1A1/GDPD3/ITGAM/ITGB2",18
"GO:0043030","GO:0043030","regulation of macrophage activation","12/1152","62/18870",0.00031868197023375,0.00834395197063945,0.00656555820253845,"IL1RL1/CD74/HAVCR2/IL31RA/TREM2/TLR4/LRRK2/LRFN5/THBS1/RORA/LDLR/CEBPA",12
"GO:0030595","GO:0030595","leukocyte chemotaxis","29/1152","240/18870",0.00034723388021543,0.00904801775910636,0.00711956245961729,"VAV3/TGFB2/PADI2/PDE4B/S100A12/S100A8/S100A7/CSF3R/PRSS56/VEGFC/BST1/CD74/EDN1/GPSM3/SERPINE1/PTN/SYK/C5/ADAM8/ALOX5/GPR15LG/PTPRO/TRPV4/THBS1/DAPK2/CORO1A/NOD2/PDGFB/ITGB2",29
"GO:0044703","GO:0044703","multi-organism reproductive process","26/1152","206/18870",0.000350612939570741,0.00905949956654062,0.00712859708436648,"WNT4/HPGD/HAVCR2/EDN1/GJA1/CITED2/CNR1/CLDN4/PTN/LDOC1/TIMP1/STC1/PAPPA/RLN1/PCSK5/FOSL1/UCP2/HMX3/PTHLH/ARHGDIB/GJB2/CYP1A1/TPPP3/HSD11B2/PLA2G4C/SLC19A1",26
"GO:0046068","GO:0046068","cGMP metabolic process","6/1152","17/18870",0.000352665058411056,0.00905949956654062,0.00712859708436648,"GUCY1B1/PDE10A/PDE2A/GUCY1A2/RORA/PDE9A",6
"GO:0072109","GO:0072109","glomerular mesangium development","6/1152","17/18870",0.000352665058411056,0.00905949956654062,0.00712859708436648,"EGR1/NOTCH1/BMP4/FOXC2/BMP7/PDGFB",6
"GO:0042116","GO:0042116","macrophage activation","17/1152","110/18870",0.000355026765936234,0.00907735102013487,0.00714264375649324,"IL1RL1/TLR2/CD74/HAVCR2/IL31RA/TREM2/SYK/TLR4/LRRK2/LRFN5/TMEM229B/THBS1/RORA/ITGAM/LDLR/CEBPA/ITGB2",17
"GO:0006694","GO:0006694","steroid biosynthetic process","24/1152","184/18870",0.000358020488359539,0.0091111195308694,0.0071692149931711,"WNT4/APOB/IL1A/MSMO1/HMGCS1/EGR1/INSIG1/NPC1L1/NSDHL/G6PD/NR0B1/FDFT1/SQLE/DHCR7/AKR1C3/IDI1/MVK/CYP46A1/SLC27A2/CYP1A1/MVD/BMP2/ABCG1/LSS",24
"GO:0048644","GO:0048644","muscle organ morphogenesis","14/1152","81/18870",0.000359782916075321,0.00911338493463349,0.00717099755859307,"TGFB2/TNNT2/NKX2-5/NOTCH1/SMTNL1/ANKRD1/ARID5B/PKP2/POU4F1/DLL4/FOXC2/FZD2/NOG/BMP2",14
"GO:0003007","GO:0003007","heart morphogenesis","31/1152","264/18870",0.000366218347929972,0.00923344964271586,0.00726547219504345,"TBX19/TGFB2/TNNT2/VANGL2/DHRS3/ROBO1/NPY2R/PITX2/NKX2-5/SLIT3/EDN1/CITED2/DLC1/EYA1/GRHL2/NOTCH1/NRP1/DKK1/ANKRD1/PKP2/POU4F1/BMP4/FLRT2/DLL4/FOXC2/FZD2/SOX9/NOG/BMP2/BMP7/RYR1",31
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","27/1152","218/18870",0.000369592127158042,0.00926325672437877,0.00728892632447687,"F3/CRNN/OSR1/TGFA/GPBAR1/WNT7A/HYAL1/GATA2/VEGFC/FGFBP1/KDR/NKX2-5/PTN/APLN/EYA1/NOTCH1/CCND1/NRP1/BMP4/TGM1/NOD2/SOX9/NOG/PPP1R16B/HPN/PDGFB/HMOX1",27
"GO:0040036","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway","9/1152","38/18870",0.000371655074340006,0.00926325672437877,0.00728892632447687,"WNT4/FGFBP1/HHIP/APLN/SPRY2/SHISA2/THBS1/NGFR/NOG",9
"GO:0061035","GO:0061035","regulation of cartilage development","13/1152","72/18870",0.000372503346059301,0.00926325672437877,0.00728892632447687,"EFEMP1/BMPR1B/ADAMTS12/CCN2/SCIN/LOXL2/GDF6/PTHLH/BMP4/SOX9/NOG/BMP2/CHADL",13
"GO:0048705","GO:0048705","skeletal system morphogenesis","28/1152","230/18870",0.00038566194115949,0.00950368747309767,0.00747811270521689,"PAPPA2/DHRS3/OSR1/WNT7A/HYAL1/BMPR1B/HHIP/FGFR3/ANXA6/FBN2/CITED2/CCN2/RIPPLY2/INSIG1/STC1/MMP16/EYA1/GRHL2/BARX2/ARID5B/TRPV4/BMP4/FOXC2/WWOX/SOX9/NOG/HOXB9/BMP7",28
"GO:0051403","GO:0051403","stress-activated MAPK cascade","28/1152","230/18870",0.00038566194115949,0.00950368747309767,0.00747811270521689,"TGFB2/XDH/IL1A/WNT7A/TNIK/MAPK10/PTGER4/UNC5CL/TREM2/CCN2/PRKN/SEMA3A/ARHGEF6/MID1/TRIB1/GDF6/GADD45G/TLR4/TRPV4/LRRK2/BMP4/NOD2/MAP2K3/BMP2/PLCB1/GADD45B/MAP3K10/MAPK8IP2",28
"GO:0034381","GO:0034381","plasma lipoprotein particle clearance","11/1152","55/18870",0.000417357612128099,0.0101953800228926,0.00802238090210016,"PCSK9/APOB/TREM2/CD36/EHD1/DGAT2/ANXA2/CES3/LDLR/FGF21/HMOX1",11
"GO:0050708","GO:0050708","regulation of protein secretion","31/1152","266/18870",0.000417475164360088,0.0101953800228926,0.00802238090210016,"TGFB2/CHRM3/RAPGEF4/ABCA12/RSAD2/IRS1/IL1A/PER2/GPR27/VEGFC/TLR2/FGB/FGA/FGG/TREM2/CNR1/PRKN/ACHE/TLR4/SYT7/UCP2/KCNJ11/ANKRD1/ADAM8/ALOX5/NEO1/MYOM1/KCNB1/PLCB1/GNAZ/ABCG1",31
"GO:0006941","GO:0006941","striated muscle contraction","24/1152","186/18870",0.000420424727204444,0.010221576180158,0.00804299372391585,"RCSD1/TNNT2/PDE4B/SLC8A1/ANK2/NKX2-5/GJA1/CAV1/FGF13/STC1/TMEM38B/SCN4B/SCN3B/TNNT3/TRPV4/PKP2/HSP90AA1/HCN4/MAP2K3/KCNJ2/DSC2/RYR1/MYH14/LARGE1",24
"GO:0034114","GO:0034114","regulation of heterotypic cell-cell adhesion","7/1152","24/18870",0.000428087436129089,0.010275137442545,0.0080851391709223,"IL1RN/FGB/FGA/FGG/GCNT2/KLF4/BMP7",7
"GO:0060907","GO:0060907","positive regulation of macrophage cytokine production","7/1152","24/18870",0.000428087436129089,0.010275137442545,0.0080851391709223,"SPON2/CD74/CD36/TLR4/SEMA7A/GPRC5B/NOD2",7
"GO:0003170","GO:0003170","heart valve development","13/1152","73/18870",0.000428287954362416,0.010275137442545,0.0080851391709223,"TNFRSF1B/TGFB2/ADAMTS9/ROBO1/NKX2-5/SLIT3/NOTCH1/PDE2A/DKK1/BMP4/DLL4/SOX9/BMP2",13
"GO:0022612","GO:0022612","gland morphogenesis","18/1152","122/18870",0.00043167885472852,0.0103110659774189,0.00811341005355404,"TGFB2/WNT4/ELF3/GDF7/TGFA/CAV1/PTN/EDA/MSN/NOTCH1/NRP1/BMP4/SOX9/NOG/TGM2/BMP7/CEACAM1/HPN",18
"GO:0070167","GO:0070167","regulation of biomineral tissue development","16/1152","102/18870",0.00044160340367265,0.0105019931665452,0.0082636438488906,"WNT4/DDR2/OSR1/SLC8A1/BMPR1B/ADGRV1/FBN2/PTN/GPM6B/NOTCH1/SRGN/ALOX5/BMP4/SOX9/BMP2/BMP7",16
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","28/1152","232/18870",0.000443993141796026,0.0105019931665452,0.0082636438488906,"TGFB2/NGF/DRAXIN/PCSK9/NTRK1/KDR/EGR1/RETREG1/FOXQ1/TREM2/PRKN/G6PD/NEFL/ANGPT1/BDNF/UCP2/CCND1/NRP1/DKK1/ADAM8/UNC5B/DDIT3/POU4F1/NUPR1/CORO1A/KCNB1/AXL/NTF4",28
"GO:0008037","GO:0008037","cell recognition","21/1152","154/18870",0.000449219419629285,0.0105019931665452,0.0082636438488906,"DCST2/EPHB3/ROBO1/CLGN/SPON2/VCAN/HAVCR2/TREM2/CNR1/CD36/CNTNAP2/NRCAM/MSN/ST6GALNAC6/TUB/ROBO4/OPCML/NRP1/MYPN/IZUMO1/FUT3",21
"GO:1905314","GO:1905314","semi-lunar valve development","10/1152","47/18870",0.000450195615910806,0.0105019931665452,0.0082636438488906,"TNFRSF1B/TGFB2/ROBO1/NKX2-5/SLIT3/NOTCH1/BMP4/DLL4/SOX9/BMP2",10
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","32/1152","279/18870",0.000450701810057404,0.0105019931665452,0.0082636438488906,"TGFB2/CADM3/IL1RN/ROBO1/CLDN11/FAT4/PCDH1/CLDN15/CLDN4/GPC4/UNC5D/KLF4/HMCN2/MPZL2/ROBO4/MYPN/CDHR1/AMIGO2/PCDH9/LRFN5/CLDN9/ITGAM/CLDN7/DSG3/CDH2/DSC3/DSC2/BMP2/CEACAM1/LGALS7B/CELSR1/ITGB2",32
"GO:0060485","GO:0060485","mesenchyme development","36/1152","327/18870",0.000451242453355043,0.0105019931665452,0.0082636438488906,"TGFB2/MARK1/WNT4/SEMA4A/OSR1/WNT10A/FN1/IL17RD/SEMA3B/ROBO1/PITX2/NKX2-5/ANXA6/EDN1/CITED2/GCNT2/SEMA3A/LOXL2/NOTCH1/AKNA/NRP1/DKK1/ADAM8/HMGA2/SPRY2/BMP4/SEMA7A/FOXC2/SP6/SOX9/ZNF750/NOG/CDH2/BMP2/BMP7/HPN",36
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","24/1152","187/18870",0.000455058708095757,0.0105457435076149,0.00829806943183796,"WNT4/GDF7/KDR/HHIP/EDN1/MAGED1/EYA1/GRHL2/NOTCH1/ST14/NRP1/SPRY2/COL4A1/BMP4/DLL4/FOXC2/SOX9/NOG/BMP2/TGM2/BMP7/RASIP1/TMEM59L/CELSR1",24
"GO:0019730","GO:0019730","antimicrobial humoral response","19/1152","133/18870",0.000458979088519685,0.0105705186192967,0.00831756408356821,"SPRR2A/H2BC21/PGLYRP3/PGLYRP4/S100A12/S100A7/FGB/FGA/SPON2/TSLP/DMBT1/IGHG1/IGHG3/IGHG4/NOD2/WFDC12/PI3/KLK5/KLK7",19
"GO:0042487","GO:0042487","regulation of odontogenesis of dentin-containing tooth","5/1152","12/18870",0.000463710625396947,0.0105705186192967,0.00831756408356821,"WNT10A/BMP4/NGFR/APCDD1/BMP2",5
"GO:1902337","GO:1902337","regulation of apoptotic process involved in morphogenesis","5/1152","12/18870",0.000463710625396947,0.0105705186192967,0.00831756408356821,"TNFRSF1B/TGFB2/NOTCH1/FOXC2/BMP7",5
"GO:0007492","GO:0007492","endoderm development","14/1152","83/18870",0.00046583262369284,0.0105705186192967,0.00831756408356821,"COL5A2/FN1/COL8A1/COL12A1/NR0B1/DUSP4/NOTCH1/DKK1/DUSP5/HMGA2/COL4A2/BMP4/NOG/ITGB2",14
"GO:0035023","GO:0035023","regulation of Rho protein signal transduction","14/1152","83/18870",0.00046583262369284,0.0105705186192967,0.00831756408356821,"GPR17/ARHGEF3/ROBO1/DLC1/GPR20/ABCA1/LPAR1/ARHGAP20/NRP1/ARHGDIB/LPAR6/STARD13/ADGRG1/RASIP1",14
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","18/1152","123/18870",0.000477410408587074,0.0107882866604365,0.0084889179880235,"S100A10/WNT4/FN1/COL8A1/CCDC80/ABI3BP/KDR/FGB/FGA/FGG/AGR2/CD36/ECM2/THY1/NRP1/UNC13D/FUT1/PDGFB",18
"GO:2000106","GO:2000106","regulation of leukocyte apoptotic process","15/1152","93/18870",0.000486732089047871,0.010919819650714,0.00859241660669476,"MERTK/HCLS1/SLC7A11/IL7R/CD74/CD274/RAG1/IRF7/ADAM8/PRKCQ/BMP4/NOD2/AXL/HSH2D/MIAT",15
"GO:0042391","GO:0042391","regulation of membrane potential","45/1152","440/18870",0.000487241310158557,0.010919819650714,0.00859241660669476,"KCNK1/RGS4/SLC8A1/WNT7A/KDR/ANK2/GLRX/EDN1/GJA1/TREM2/CNR1/PRKN/CD36/CAV1/ABCB5/NRCAM/PRKAR1B/NLGN4X/GABRE/FGF13/RIMS2/PIP5KL1/SCN4B/UCP2/SCN3B/KCNJ11/GRIA4/INSYN2A/STOX1/LRRK2/PKP2/SCN8A/HCN4/KCNJ2/SEZ6/DSC2/KCNB1/SLC4A11/GRIN3B/BEST2/HSH2D/MYH14/MAPK8IP2/P2RX6/SHANK3",45
"GO:0051961","GO:0051961","negative regulation of nervous system development","21/1152","155/18870",0.00049038713234229,0.0109452800112136,0.00861245045627895,"SEMA4A/TRIM46/DRAXIN/WNT7A/SEMA3B/GATA2/TLR2/TREM2/SEMA3A/PTN/FGF13/NOTCH1/SORL1/THY1/NRP1/DKK1/SEMA7A/NOG/WNT3/BMP7/LDLR",21
"GO:0016264","GO:0016264","gap junction assembly","6/1152","18/18870",0.000501802859513786,0.011111250853796,0.00874304699263648,"HOPX/GJA1/CNTNAP2/CAV1/GJB2/GJB6",6
"GO:0030199","GO:0030199","collagen fibril organization","12/1152","65/18870",0.000501903729348844,0.011111250853796,0.00874304699263648,"TGFB2/COLGALT2/DDR2/COL5A2/ADAMTS12/COL12A1/AEBP1/LOXL2/ANXA2/FOXC2/COL5A3/CHADL",12
"GO:0050890","GO:0050890","cognition","35/1152","317/18870",0.000509996234250706,0.0112446942984994,0.00884804887975548,"NGF/NTRK1/SLC7A11/TLR2/CAMK4/PLK2/TREM2/CNR1/PRKN/ADCY1/CNTNAP2/PTN/PRKAR1B/NLGN4X/FGF13/BDNF/FOSL1/RAG1/DKK1/CPEB3/SORCS3/RAPGEF3/CCND2/TUBA1A/RASGRF1/PAK6/NOG/PLCB1/LDLR/KLK8/NTF4/NLGN4Y/LARGE1/MAPK8IP2/SHANK3",35
"GO:0007416","GO:0007416","synapse assembly","25/1152","200/18870",0.000521940811237859,0.0114076199565333,0.00897624926900422,"NEGR1/SEMA4A/NTRK1/DNER/WNT7A/EPHB3/TLR2/ACHE/NRCAM/NLGN4X/SRPX2/GPC4/FGF13/BDNF/VSTM5/DKK1/AMIGO2/POU4F1/SLITRK6/LRFN5/FLRT2/CDH2/NLGN4Y/LARGE1/SHANK3",25
"GO:0071248","GO:0071248","cellular response to metal ion","25/1152","200/18870",0.000521940811237859,0.0114076199565333,0.00897624926900422,"ADGRV1/EDN1/PRKN/ADCY1/RASA4/RASA4B/SYT7/SYT12/UCP2/AKR1C3/LRRK2/TUBA1A/ALOX5AP/CYP1A1/MT2A/MT1E/MT1M/MT1A/MT1X/CPNE7/MT1G/KCNB1/RYR1/CEBPA/HMOX1",25
"GO:0046165","GO:0046165","alcohol biosynthetic process","20/1152","145/18870",0.00052366966381442,0.0114076199565333,0.00897624926900422,"WNT4/APOB/PLEK/MSMO1/HMGCS1/MOXD1/INSIG1/ADCYAP1R1/NPC1L1/NSDHL/G6PD/FDFT1/DHCR7/IDI1/MVK/MVD/BMP2/SPTLC3/ABCG1/LSS",20
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","21/1152","156/18870",0.000534797310097727,0.0116036101625188,0.00913046697172508,"WNT4/GDF7/KDR/HHIP/EDN1/MAGED1/EYA1/NOTCH1/NRP1/SPRY2/COL4A1/BMP4/DLL4/FOXC2/SOX9/NOG/BMP2/BMP7/RASIP1/TMEM59L/CELSR1",21
"GO:0052652","GO:0052652","cyclic purine nucleotide metabolic process","9/1152","40/18870",0.000558437814077331,0.0120308744210027,0.00946666597752129,"PDE4B/GUCY1B1/PDE10A/ADCY1/PDE2A/GUCY1A2/PTHLH/RORA/PDE9A",9
"GO:0045926","GO:0045926","negative regulation of growth","29/1152","247/18870",0.000558907680593771,0.0120308744210027,0.00946666597752129,"TGFB2/SEMA4A/TRIM46/DRAXIN/ENO1/RGS4/HYAL1/SEMA3B/FGFR3/SLIT3/GJA1/CITED2/HSPA1A/HSPA1B/SEMA3A/G6PD/FGF13/TMPRSS4/NRP1/SEMA7A/MT2A/MT1E/MT1M/MT1A/MT1X/MT1G/NOG/WNT3/GDF15",29
"GO:0045662","GO:0045662","negative regulation of myoblast differentiation","7/1152","25/18870",0.000563478754570781,0.012081516918868,0.00950651475282905,"TMEM182/MBNL3/NOTCH1/ANKRD2/DDIT3/BMP4/SOX9",7
"GO:0006633","GO:0006633","fatty acid biosynthetic process","22/1152","168/18870",0.000585525096694493,0.0124413441127497,0.00978964993776289,"GSTM1/ACADL/THNSL2/MGLL/ELOVL6/ELOVL7/CD74/EDN1/INSIG1/FADS2/AKR1C3/SCD/ALOX5/CYP1A1/PLA2G4F/FA2H/ALOX12B/FASN/ACSS2/PTGIS/TRIB3/CEACAM1",22
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","22/1152","168/18870",0.000585525096694493,0.0124413441127497,0.00978964993776289,"LRP8/IL24/TNFRSF18/TGFA/HCLS1/IL15/FGFR3/CD74/TSLP/IL31RA/HBEGF/TREM2/CD36/ANGPT1/SYK/NRP1/GFRA1/GPRC5B/NOD2/CSF3/SRCIN1/PDGFB",22
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","42/1152","406/18870",0.000587114476124984,0.0124413441127497,0.00978964993776289,"LRP8/TNFSF4/CRNN/DDR2/S100A12/S100A8/NTRK1/HCLS1/TFRC/TLR2/HAVCR2/EDN1/HSPA1A/HSPA1B/ADCY1/CD36/CAV1/EDA/TMSB4X/NR0B1/TRIB1/SYK/KLF4/TLR4/CARD16/TRIM22/ARID5B/ADAM8/PRKCQ/LRRK2/DDIT3/POU4F1/NUPR1/NOD2/FZD2/CSF3/BMP2/PTGIS/BMP7/CEBPG/MAP3K10/HMOX1",42
"GO:0043010","GO:0043010","camera-type eye development","37/1152","344/18870",0.000590594164860952,0.0124665729528401,0.00980950161219476,"BCAR3/TGFB2/GRHL3/EFEMP1/PRSS56/MERTK/WNT7A/COL8A1/SLC7A11/BMPR1B/KDR/PITX2/PDE6A/FBN2/CITED2/ACHE/GRHL2/KLF4/RORB/LAMC3/NOTCH1/FJX1/TUB/THY1/NRP1/SPRY2/SLITRK6/COL4A1/BMP4/NRL/CYP1A1/DLL4/FOXC2/SOX9/MYOM1/BMP7/LARGE1",37
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","17/1152","115/18870",0.000602256607101832,0.0126636659547358,0.00996458706568404,"WNT4/GALNT3/ZFP36L2/HYAL1/FGFBP1/HHIP/FGFR3/CCN2/APLN/SPRY2/SHISA2/FLRT2/THBS1/DLL4/NGFR/NOG/FGF21",17
"GO:0007498","GO:0007498","mesoderm development","19/1152","136/18870",0.000608591720702023,0.0127476558113201,0.0100306756881698,"TBX19/OSR1/GJA1/CITED2/MEST/IKZF1/RPS6KA6/EYA1/KLF4/OVOL1/DKK1/HMGA2/POU4F1/BMP4/FOXC2/HES7/NOG/WNT3/BMP7",19
"GO:0150063","GO:0150063","visual system development","41/1152","395/18870",0.000634363472286313,0.0132365650194301,0.0104153809061407,"BCAR3/TGFB2/GRHL3/EFEMP1/COL5A2/PRSS56/MERTK/WNT7A/COL8A1/SLC7A11/BMPR1B/KDR/PITX2/PDE6A/FBN2/CITED2/ACHE/ABCB5/GRHL2/KLF4/RORB/LAMC3/NOTCH1/FJX1/TUB/MYO7A/THY1/NRP1/SPRY2/SLITRK6/COL4A1/BMP4/NRL/CYP1A1/DLL4/FOXC2/ITGAM/SOX9/MYOM1/BMP7/LARGE1",41
